Cr,Ni,Mo,Mn,Si,Nb,Ti,Zr,Ta,V,W,Cu,N,C,B,P,S,Co,Al,Sn,Pb,Solution_treatment_temperature,Solution_treatment_time(s),Water_Quenched_after_s.t.,Air_Quenched_after_s.t.,Grains mm-2,Type of melting,Size of ingot,Product form,Temperature (K),0.2%proof_stress (M Pa),UTS (M Pa),Elongation (%),Area_reduction (%),Comments
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,298,280.0,610.0,67.0,83.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,373,243.0,508.0,54.0,83.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,473,220.0,472.0,44.0,81.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,573,204.0,470.0,43.0,76.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,673,197.0,470.0,45.0,76.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,773,197.0,443.0,40.0,73.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,823,172.0,425.0,44.0,75.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,873,162.0,391.0,43.0,73.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,923,167.0,314.0,47.0,63.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,973,150.0,256.0,52.0,65.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,1023,148.0,223.0,60.0,67.0,NRIM/CDS/No4B/1986 ABA
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,298,265.0,610.0,69.0,82.0,NRIM/CDS/No4B/1986 ABB
