feature,importance
test_temp_k,0.8975619800066081
nickel_wt_pct,0.034138927301766826
molybdenum_wt_pct,0.01333766320523017
chromium_wt_pct,0.007046984491049206
solution_treatment_temp_k,0.006867711426082163
carbon_wt_pct,0.006712240679757206
silicon_wt_pct,0.0059965222672001
phosphorus_wt_pct,0.0053321234366404706
aluminium_wt_pct,0.004294259652495978
manganese_wt_pct,0.0036626884685539247
sulphur_wt_pct,0.003553631076946376
niobium_wt_pct,0.0025097106512885744
titanium_wt_pct,0.001847042546752921
solution_treatment_time_s,0.0014733339987046978
nitrogen_wt_pct,0.0011652114091173327
type_of_melting_2.0,0.0010623924612881348
type_of_melting_1.0,0.0005475360297045028
boron_wt_pct,0.00041939386309280453
grains_per_mm2,0.0004120906910683177
copper_wt_pct,0.000289619625248012
product_form_1.0,0.00023573097913075493
size_of_ingot_3.35,0.0002291680986225834
size_of_ingot_4.5,0.0001850722365005237
cobalt_wt_pct,0.00018090501294168974
product_form_3.0,0.00016819405288985516
vanadium_wt_pct,0.0001497451748124554
product_form_5.0,0.00014621794515933735
product_form_2.0,0.00012007771529585018
product_form_4.0,0.00011864578736132838
air_quenched,0.00010089519622798613
water_quenched,6.993052994182731e-05
size_of_ingot_2.9,2.5016532906130484e-05
type_of_melting_3.0,1.5653875792871114e-05
size_of_ingot_4.8,1.1654819520652124e-05
size_of_ingot_11.2,5.015381555826909e-06
size_of_ingot_3.0,3.931634764614261e-06
size_of_ingot_5.7,2.404116428945078e-06
size_of_ingot_0.56,6.776215509264912e-07
tin_wt_pct,0.0
lead_wt_pct,0.0
size_of_ingot_16.0,0.0
size_of_ingot_6.0,0.0
size_of_ingot_15.8,0.0
size_of_ingot_15.5,0.0
size_of_ingot_14.7,0.0
tantalum_wt_pct,0.0
tungsten_wt_pct,0.0
zirconium_wt_pct,0.0
size_of_ingot_1.6,0.0
size_of_ingot_1.282,0.0
size_of_ingot_0.9,0.0
size_of_ingot_0.35,0.0
size_of_ingot_0.23,0.0
size_of_ingot_0.21,0.0
type_of_melting_4.0,0.0
size_of_ingot_1.205,0.0
